f1-score	Precision	Recall	Accuracy	Cross-validation-score	Method	Combination	Token	Ngram	Lemma	Stem
91.012	90.898	91.197	91.582	84.605	ComplementNB	['Tokenization', 'Stemming']	True	False	False	True
87.51	93.89	83.447	89.562	88.208	GaussianNB	['Tokenization', 'Stemming']	True	False	False	True
64.79	64.94	64.648	90.236	86.03	MultinomialNB	['Tokenization', 'Stemming']	True	False	False	True
92.554	97.551	89.501	93.939	91.495	Random Forest	['Tokenization', 'Stemming']	True	False	False	True
92.901	93.982	91.911	93.603	91.579	SVM	['Tokenization', 'Stemming']	True	False	False	True
95.202	95.874	94.568	95.623	91.753	Logistic Regression	['N-gram', 'Stemming']	False	True	False	True
92.337	95.016	90.356	93.266	79.228	ComplementNB	['N-gram', 'Stemming']	False	True	False	True
89.114	95.132	85.115	90.909	90.148	GaussianNB	['N-gram', 'Stemming']	False	True	False	True
66.46	70.543	63.42	92.256	82.588	MultinomialNB	['N-gram', 'Stemming']	False	True	False	True
91.816	97.826	87.989	93.266	90.739	Random Forest	['N-gram', 'Stemming']	False	True	False	True
93.925	95.998	92.268	94.613	91.749	SVM	['N-gram', 'Stemming']	False	True	False	True
94.435	95.566	93.399	94.949	92.339	Logistic Regression	['Lemmatization', 'Stemming']	False	False	True	True
91.624	91.845	91.435	92.256	85.193	ComplementNB	['Lemmatization', 'Stemming']	False	False	True	True
86.758	95.138	81.973	89.226	88.125	GaussianNB	['Lemmatization', 'Stemming']	False	False	True	True
66.206	67.943	64.737	91.919	86.788	MultinomialNB	['Lemmatization', 'Stemming']	False	False	True	True
91.49	97.207	87.87	92.929	90.909	Random Forest	['Lemmatization', 'Stemming']	False	False	True	True
93.087	95.468	91.1	93.939	92.167	SVM	['Lemmatization', 'Stemming']	False	False	True	True
95.122	96.315	94.062	95.623	91.922	Logistic Regression	['Tokenization', 'N-gram', 'Lemmatization']	True	True	True	False
92.337	95.016	90.356	93.266	80.824	ComplementNB	['Tokenization', 'N-gram', 'Lemmatization']	True	True	True	False
88.276	94.859	84.028	90.236	89.811	GaussianNB	['Tokenization', 'N-gram', 'Lemmatization']	True	True	True	False
66.557	70.564	63.539	92.593	84.522	MultinomialNB	['Tokenization', 'N-gram', 'Lemmatization']	True	True	True	False
91.448	97.727	87.446	92.929	91.158	Random Forest	['Tokenization', 'N-gram', 'Lemmatization']	True	True	True	False
93.325	96.235	91.137	94.276	91.918	SVM	['Tokenization', 'N-gram', 'Lemmatization']	True	True	True	False
95.122	96.315	94.062	95.623	92.088	Logistic Regression	['Tokenization', 'N-gram', 'Stemming']	True	True	False	True
92.337	95.016	90.356	93.266	80.742	ComplementNB	['Tokenization', 'N-gram', 'Stemming']	True	True	False	True
88.7	94.996	84.572	90.572	89.896	GaussianNB	['Tokenization', 'N-gram', 'Stemming']	True	True	False	True
66.23	69.913	63.42	92.256	83.511	MultinomialNB	['Tokenization', 'N-gram', 'Stemming']	True	True	False	True
91.816	97.826	87.989	93.266	91.076	Random Forest	['Tokenization', 'N-gram', 'Stemming']	True	True	False	True
93.325	96.235	91.137	94.276	91.58	SVM	['Tokenization', 'N-gram', 'Stemming']	True	True	False	True
94.003	95.381	92.774	94.613	92.17	Logistic Regression	['Tokenization', 'Lemmatization', 'Stemming']	True	False	True	True
92.281	92.496	92.098	92.929	85.11	ComplementNB	['Tokenization', 'Lemmatization', 'Stemming']	True	False	True	True
87.245	95.287	82.598	89.562	88.042	GaussianNB	['Tokenization', 'Lemmatization', 'Stemming']	True	False	True	True
66.643	68.168	65.362	92.256	86.453	MultinomialNB	['Tokenization', 'Lemmatization', 'Stemming']	True	False	True	True
92.206	97.436	88.957	93.603	91.579	Random Forest	['Tokenization', 'Lemmatization', 'Stemming']	True	False	True	True
92.625	95.273	90.475	93.603	91.83	SVM	['Tokenization', 'Lemmatization', 'Stemming']	True	False	True	True
94.779	95.69	93.943	95.286	92.341	Logistic Regression	['N-gram', 'Lemmatization', 'Stemming']	False	True	True	True
92.654	95.554	90.475	93.603	80.91	ComplementNB	['N-gram', 'Lemmatization', 'Stemming']	False	True	True	True
88.589	95.584	84.147	90.572	89.811	GaussianNB	['N-gram', 'Lemmatization', 'Stemming']	False	True	True	True
66.557	70.564	63.539	92.593	84.524	MultinomialNB	['N-gram', 'Lemmatization', 'Stemming']	False	True	True	True
91.448	97.727	87.446	92.929	90.992	Random Forest	['N-gram', 'Lemmatization', 'Stemming']	False	True	True	True
92.981	95.497	91.018	93.939	91.917	SVM	['N-gram', 'Lemmatization', 'Stemming']	False	True	True	True
94.435	95.566	93.399	94.949	92.341	Logistic Regression	['Tokenization', 'N-gram', 'Lemmatization', 'Stemming']	True	True	True	True
92.803	95.173	90.981	93.603	82.422	ComplementNB	['Tokenization', 'N-gram', 'Lemmatization', 'Stemming']	True	True	True	True
88.276	94.859	84.028	90.236	89.474	GaussianNB	['Tokenization', 'N-gram', 'Lemmatization', 'Stemming']	True	True	True	True
66.172	70.463	62.996	92.256	84.604	MultinomialNB	['Tokenization', 'N-gram', 'Lemmatization', 'Stemming']	True	True	True	True
91.816	97.826	87.989	93.266	91.244	Random Forest	['Tokenization', 'N-gram', 'Lemmatization', 'Stemming']	True	True	True	True
93.31	96.073	91.137	94.276	91.495	SVM	['Tokenization', 'N-gram', 'Lemmatization', 'Stemming']	True	True	True	True
